0,1,2,3,4
"['Port West', 'NA', 690]","['Z18', 758, 761]","['Z21', 774, 775]","['Port West', 836, 'NA']",
"['Port West', 'NA', 690]","['Port West', 690, 'NA']",,,
"['Port West', 'NA', 690]","['Z24', 720, 728]","['Z27', 747, 750]","['Z30', 770, 773]","['Port West', 805, 'NA']"
"['Port MSP', 'NA', 690]","['Z14', 691, 694]","['Z16', 699, 707]","['Port MSP', 713, 'NA']",
"['Port MSP', 'NA', 690]","['Z07', 727, 728]","['Z01', 764, 767]","['Z02', 772, 775]","['Port MSP', 837, 'NA']"
