0,1,2,3,4
"['Port West', 'NA', 540]","['Z28', 581, 583]","['Z27', 589, 598]","['Z29', 609, 612]","['Port West', 652, 'NA']"
"['Port West', 'NA', 540]","['Port West', 540, 'NA']",,,
"['Port West', 'NA', 540]","['Z22', 580, 585]","['Z23', 589, 596]","['Z25', 608, 610]","['Port West', 637, 'NA']"
"['Port MSP', 'NA', 540]","['Z04', 591, 594]","['Z03', 598, 600]","['Z01', 613, 616]","['Port MSP', 683, 'NA']"
"['Port MSP', 'NA', 540]","['Z06', 577, 580]","['Z11', 603, 608]","['Z08', 620, 626]","['Port MSP', 652, 'NA']"
